split,level_1,u1,u2,z,n_x,n_t,n_y,x,t,y,y0,y1,name,diff_z,z_actual,diff_x,x_actual
train,40,0.5819781,-0.35968155,2.0265148,-0.015956549,-0.028401388,0.03650147,0.9257031,1.0,-2.6539693,-3.6539693,-2.6539693,train/0469n01a1s126.png,-0.04779889,1.9787159,-0.008673974,0.91702914
train,41,0.2031208,0.29940605,-0.83301383,0.05197918,0.03710494,0.041207187,-0.044306073,0.0,-0.03202057,-0.03202057,0.96797943,train/0061n05a1s090.png,0.026836278,-0.80617756,-0.00138173,-0.045687802
train,42,-0.05072187,0.18678576,-0.014118987,-0.07961041,0.06806146,0.04617421,-0.31711805,1.0,0.66173697,-0.33826306,0.66173697,train/0042n04a4s048.png,0.0009813624,-0.013137625,-0.00017796137,-0.317296
train,43,-0.5315673,0.32433656,-1.314856,-0.092261925,0.05782572,-0.0014161014,-0.9481658,0.0,1.8765745,1.8765745,2.8765745,train/0590n01a4s261.png,-0.03152289,-1.3463789,0.052622203,-0.8955436
train,44,-0.8376195,0.54487854,0.5546134,0.007903488,0.043843135,0.018907575,-1.3745946,1.0,1.6395333,0.63953304,1.6395333,train/0928n01a1s091.png,0.07597813,0.6305915,-0.013774656,-1.3883692
train,45,0.31060353,-0.7020416,-0.678102,-0.043463532,0.049780574,-0.054280836,0.9691816,0.0,-0.49738586,-0.49738586,0.50261414,train/0635n01a3s045.png,-0.020649377,-0.6987514,-0.02045208,0.9487295
train,46,-1.2779846,0.437246,-0.65389717,0.023240838,0.00023757543,0.04989305,-1.6919898,0.0,2.7597594,2.7597594,3.7597594,train/0696n01a3s287.png,0.015145564,-0.6387516,0.028921347,-1.6630684
train,47,0.75160533,-0.5496529,0.47688848,0.03431375,-0.0028842622,-0.028218538,1.335572,0.0,-2.5083177,-2.5083177,-1.5083177,train/1004n03a3s376.png,0.04182617,0.51871467,-0.040625375,1.2949467
train,48,-0.029767098,-0.03932106,0.9211415,-0.013712833,0.074165456,0.047137316,-0.0041588694,0.0,-1.31447,-1.31447,-0.31446993,train/0066n01a1s448.png,-0.044195604,0.8769459,0.031079682,0.026920812
train,49,-0.2670956,0.23878944,-1.2122802,-0.063994616,0.023722254,-0.03867805,-0.56987965,0.0,1.2077932,1.2077932,2.2077932,train/0298n04a1s267.png,0.072556965,-1.1397232,-0.0073521677,-0.5772318
train,50,0.55439496,0.5362873,-0.70505804,-0.033542957,-0.012235238,0.01858987,-0.0154353045,1.0,0.11485797,-0.885142,0.11485797,train/0617n02a1s176.png,-0.022830022,-0.72788805,0.0027835898,-0.0126517145
train,51,-0.2362869,-0.53159076,-0.57984924,-0.063500516,-0.045371383,-0.0065814005,0.23180336,0.0,0.5458417,0.5458417,1.5458417,train/0250n01a4s088.png,-0.0067066033,-0.58655584,0.048363764,0.28016713
train,52,-0.5637369,-1.4170998,0.24769855,-0.023748139,-0.07770402,-0.03485125,0.82961476,0.0,0.3449241,0.3449241,1.3449242,train/0159n02a1s073.png,0.0052771326,0.25297567,0.014202981,0.8438177
train,53,-1.5606216,0.21074694,-0.6874872,-0.010241977,0.06886894,-0.052024473,-1.7816105,0.0,3.256706,3.256706,4.2567058,train/0308n02a2s277.png,-0.07989114,-0.76737833,-0.011123847,-1.7927344
train,54,-0.29348898,0.5812487,0.8836859,-0.039577268,0.024482274,0.034605768,-0.9143149,1.0,0.23789781,-0.7621022,0.23789781,train/0009n01a1s103.png,0.007157745,0.89084363,0.04958518,-0.86472976
train,55,-0.10929845,-1.0758426,-1.1205612,0.05019614,0.008585789,0.047594957,1.0167403,0.0,0.8867531,0.8867531,1.8867531,train/0838n01a2s118.png,0.09645146,-1.0241098,-0.08069081,0.9360495
train,56,-1.0054766,0.5156825,-0.23831834,-0.013624131,0.08811051,-0.0748475,-1.5347832,1.0,2.6744242,1.6744242,2.6744242,train/0701n06a2s252.png,0.02356993,-0.21474841,-0.018170362,-1.5529536
train,57,0.7188863,-0.5871603,0.43969786,0.021021737,-0.042910956,0.034859773,1.3270683,0.0,-2.3426108,-2.3426108,-1.3426107,train/0044n03a4s071.png,-0.024173606,0.41552424,0.03318526,1.3602536
train,58,-1.3060274,0.6355337,-0.36093402,0.0029505491,-0.025259528,0.010414752,-1.9386106,1.0,3.4834037,2.4834037,3.4834037,train/0345n01a3s109.png,-0.03453446,-0.39546847,0.0806101,-1.8580005
train,59,0.034335792,-0.39931783,-0.19360444,-0.00152011,0.08168467,0.10824479,0.43213353,1.0,0.73317766,-0.26682234,0.73317766,train/0905n01a2s163.png,-0.03366723,-0.22727168,0.013157853,0.44529137
train,60,0.013812327,0.0618007,0.23648953,0.13958341,-0.017520627,0.0033245774,0.09159504,0.0,-0.76078963,-0.76078963,0.23921037,train/0217n02a1s084.png,0.023821495,0.26031104,0.00682857,0.09842361
train,61,0.15358263,0.88699734,-1.3191447,0.04154084,0.049115106,-0.016136449,-0.69187385,0.0,0.49584305,0.49584305,1.495843,train/0556n01a3s092.png,-0.02786376,-1.3470085,0.07404638,-0.6178275
train,62,0.8806395,-0.5631108,0.48551342,-0.052589577,-0.020838836,-0.026135702,1.3911608,0.0,-2.772928,-2.772928,-1.7729281,train/0095n01a2s188.png,0.049509548,0.535023,-0.027949011,1.3632119
train,63,-0.38398364,0.25345704,0.7337038,-0.07226078,-0.059612673,-0.06584276,-0.7097015,1.0,0.4684208,-0.53157926,0.4684208,train/0883n01a1s187.png,0.052260898,0.78596467,-0.020239202,-0.72994065
train,64,0.79965514,0.4897825,0.82819664,-0.020098796,0.0032117409,0.06625317,0.28977382,1.0,-1.8612537,-2.8612537,-1.8612537,train/0829n01a2s146.png,0.02779232,0.855989,0.03442534,0.32419917
train,65,-0.8126195,0.5962114,-1.0971019,0.017375091,0.060341425,-0.049956016,-1.3914558,0.0,2.172385,2.172385,3.172385,train/0673n01a4s203.png,0.0015389024,-1.095563,-0.05998159,-1.4514374
train,66,-0.26882106,-0.95590746,-0.25090298,0.10198241,-0.16178122,0.038316756,0.7890688,0.0,0.32686186,0.32686186,1.3268619,train/1011n03a3s084.png,-0.012146696,-0.26304966,0.046471827,0.83554065
train,67,-0.6601812,0.5097045,-0.3772657,-0.03684252,0.04638728,0.026288787,-1.2067281,0.0,1.2239169,1.2239169,2.2239168,train/0200n02a2s060.png,-0.013269757,-0.39053544,0.0125159435,-1.1942122
train,68,0.53366476,0.26248246,-0.34577742,0.02933119,0.002983465,-0.04749681,0.30051348,1.0,-0.2690489,-1.2690489,-0.2690489,train/0484n01a2s038.png,0.025999794,-0.31977764,-0.03446924,0.26604423
train,69,-0.17766574,0.07939316,-0.60315764,0.039998375,-0.04764352,0.04871962,-0.21706054,0.0,0.5072087,0.5072087,1.5072088,train/0052n01a3s083.png,0.03823085,-0.5649268,0.00046173835,-0.2165988
train,70,0.60681856,-0.6321304,-1.196775,-0.073813945,0.047142576,0.038455617,1.165135,0.0,-0.47840655,-0.47840655,0.52159345,train/0484n01a2s040.png,0.08643039,-1.1103445,-0.017663369,1.1474717
train,71,-1.025915,-0.3444698,0.08876903,0.08816441,-0.026229654,0.02265451,-0.59328085,1.0,2.4857156,1.4857155,2.4857156,train/0543n01a2s391.png,-0.0009922588,0.08777677,0.044660155,-0.5486207
train,72,-0.46671766,1.5645624,-1.0298945,-0.07226156,0.011370032,-0.009008826,-2.1035416,1.0,2.454321,1.4543209,2.454321,train/0549n04a4s115.png,0.031900086,-0.99799436,0.12604663,-1.977495
train,73,0.05554121,-1.1529039,0.11467014,-0.027093155,0.07160383,0.03178335,1.1813519,0.0,-0.69396925,-0.69396925,0.30603075,train/0819n03a3s300.png,0.014740454,0.1294106,0.022885602,1.2042375
train,74,1.3032892,0.5865481,-0.7220951,-0.07222412,0.005270003,0.022639876,0.64451694,0.0,-2.3618433,-2.3618433,-1.3618433,train/0583n20a1s210.png,-0.017095944,-0.739191,-0.001620564,0.64289635
train,75,-0.9352612,-0.09084945,-0.40621832,-0.088090226,-0.03266257,-0.017934537,-0.932502,1.0,2.758806,1.7588062,2.758806,train/0617n02a3s188.png,0.025545463,-0.38067287,0.03847721,-0.8940248
train,76,0.35669908,0.5788119,0.049529374,-0.12825425,-0.0067057647,0.06644137,-0.35036707,0.0,-1.1964862,-1.1964862,-0.19648618,train/0069n01a1s041.png,0.023497934,0.073027305,-0.03592977,-0.38629684
train,77,-0.08587984,-0.08934205,-0.4181908,0.123693466,0.034720168,0.017490223,0.12715568,0.0,0.10744071,0.10744071,1.1074407,train/0164n03a1s102.png,0.018916164,-0.39927465,0.013395284,0.14055096
train,78,-0.19227378,-1.1545018,0.85313696,0.008527181,-0.013479881,-0.07183503,0.97075516,0.0,-1.0404245,-1.0404245,-0.040424407,train/0051n02a2s079.png,-0.034865092,0.8182719,-0.009116732,0.96163845
train,79,0.6970769,-0.5450713,-0.5412281,-0.1317106,0.065626316,0.01793781,1.1104375,0.0,-1.3349879,-1.3349879,-0.33498794,train/0395n01a3s038.png,-0.042210817,-0.58343893,-0.026039632,1.0843979
train,80,-0.5292189,0.05771218,0.79884124,-0.026013548,-0.011956752,0.020851877,-0.61294466,0.0,-0.21955156,-0.21955156,0.78044844,train/0486n01a4s107.png,0.03821357,0.8370548,-0.01694199,-0.6298866
train,81,0.0143068535,-0.49652776,-1.4980477,-0.06916879,-0.041295644,0.0131205795,0.44166583,0.0,0.98255455,0.98255455,1.9825544,train/0636n05a3s275.png,0.07110598,-1.4269418,-0.04470768,0.39695814
train,82,-0.3514205,-0.07155673,0.30536702,0.14998692,-0.0525538,0.022471678,-0.12987685,1.0,0.9199457,-0.08005437,0.9199457,train/0660n05a1s136.png,-0.026536388,0.27883065,-0.016873756,-0.14675061
train,83,-0.17443635,-0.7510938,2.2901137,-0.023839403,-0.0114050275,-0.07212555,0.55281806,0.0,-2.5133665,-2.5133665,-1.5133666,train/0648n03a4s501.png,-0.079597145,2.2105165,-0.09641914,0.4563989
train,84,-0.21324246,0.06898765,-1.2868352,0.013881533,-0.010474797,0.062386192,-0.26834857,0.0,1.2757063,1.2757063,2.2757063,train/0703n01a2s126.png,0.07782567,-1.2090095,-0.05418899,-0.32253757
train,85,-0.7046333,-0.10348644,-1.5921315,0.04992724,-0.033567943,-0.0051145894,-0.55121964,0.0,2.4962835,2.4962835,3.4962835,train/0385n01a4s345.png,0.019614894,-1.5725166,-0.012272561,-0.5634922
train,86,0.8822396,0.19809553,1.2673959,-0.018483588,0.010705755,-0.00020243153,0.66566044,0.0,-3.5320773,-3.5320773,-2.5320773,train/0119n01a2s164.png,-0.04051191,1.2268839,-0.0372893,0.6283711
train,87,-0.10027056,-0.40298828,-0.43641487,0.024432668,0.013521279,-0.028932264,0.32715037,0.0,0.10802376,0.10802376,1.1080238,train/0510n05a2s090.png,0.026723145,-0.40969172,-0.02564015,0.3015102
train,88,1.1399312,0.5959287,0.6807557,0.013748758,0.020864248,-0.060744952,0.55775124,0.0,-3.521363,-3.521363,-2.521363,train/0119n01a2s161.png,0.0049475175,0.6857032,-0.031474993,0.52627623
train,89,0.49444807,0.6151942,-1.6796886,-0.07496577,0.035227247,0.006584581,-0.19571191,0.0,0.19737703,0.19737703,1.197377,train/0474n04a1s122.png,-0.077451035,-1.7571396,0.018956224,-0.17675568
train,90,-0.7617498,-0.92981637,1.404445,-0.0078077726,-0.014895177,0.033833053,0.16025878,0.0,-0.34711242,-0.34711242,0.65288746,train/0440n02a2s346.png,0.018822394,1.4232675,0.09517657,0.25543535
train,91,0.6648668,-0.20470683,1.6821071,0.09198369,-0.060183622,-0.039009202,0.9615573,0.0,-3.55085,-3.55085,-2.55085,train/0892n03a1s082.png,0.1389848,1.8210919,0.02100145,0.9825588
train,92,1.0820795,0.5750071,0.81283164,-0.0042539514,-0.047741357,0.012400229,0.5028185,0.0,-3.4645905,-3.4645905,-2.4645905,train/0829n01a3s148.png,-0.02284572,0.7899859,0.0052823867,0.5081009
train,93,0.16967556,0.033670675,0.5778977,0.09566479,0.018779838,0.057283916,0.23166966,1.0,-0.3599649,-1.359965,-0.3599649,train/0829n01a3s145.png,-0.049538903,0.5283588,-0.0049560843,0.22671358
train,94,-0.844231,-0.0071922326,1.1425383,0.0061211493,-0.060763817,0.013704079,-0.8309176,1.0,1.0596278,0.05962777,1.0596278,train/0801n02a4s261.png,0.024546081,1.1670843,-0.030483834,-0.86140144
train,95,1.3065274,0.8754243,-0.98965436,-0.006696244,0.029897198,-0.04541302,0.4244068,1.0,-1.1688135,-2.1688135,-1.1688135,train/0893n02a3s104.png,-0.014526051,-1.0041804,-0.042066712,0.38234007
train,96,0.23482934,-1.2798878,1.0020276,0.035857495,-0.03773699,0.034363132,1.5505745,0.0,-1.9373232,-1.9373232,-0.9373232,train/0829n01a2s155.png,0.02585363,1.0278813,0.062043283,1.6126179
train,97,-0.34765643,0.4525391,-0.30960014,-0.10109319,-0.052936137,-0.057320625,-0.9012887,1.0,1.4475924,0.44759238,1.4475924,train/0119n01a1s169.png,0.0025372363,-0.3070629,0.034612834,-0.86667585
train,98,-1.1086246,-1.0975522,0.13620926,-0.07993243,-0.02698873,0.05883474,-0.091004826,1.0,2.6398747,1.6398747,2.6398747,train/0463n01a3s144.png,-0.016045589,0.12016368,0.012642263,-0.07836256
train,99,0.5319618,-0.10256365,-0.5904603,0.014037873,0.014625072,-0.028641641,0.64856327,1.0,-0.0021049976,-1.002105,-0.0021049976,train/0164n03a1s107.png,0.0069187023,-0.5835416,0.012468696,0.66103196
train,100,0.10398982,0.8181069,0.79405236,-0.006483298,0.024326406,0.05396389,-0.72060037,1.0,-0.44806814,-1.4480681,-0.44806814,train/0932n01a1s178.png,-0.03693699,0.75711536,-0.017822495,-0.7384229
train,101,-1.0401673,0.4304758,1.10349,-0.074126,0.10509991,-0.05373888,-1.5447692,0.0,0.42310584,0.42310584,1.4231058,train/0929n01a3s076.png,0.010993426,1.1144835,0.047796384,-1.4969728
train,102,-1.2056549,0.26820406,1.0565355,0.0045824638,0.050991137,0.020780588,-1.4692765,0.0,0.8755548,0.8755548,1.8755548,train/0039n03a4s132.png,-0.0029712364,1.0535642,0.11181957,-1.3574569
train,103,-1.7367975,0.97430605,-0.29700005,0.007093494,-0.025724698,-0.06588551,-2.70401,1.0,4.204709,3.2047095,4.204709,train/0780n01a1s177.png,0.1276306,-0.16936944,0.63512284,-2.0688872
train,104,-0.6782023,0.7582423,-1.6200631,-0.031188583,0.009078807,0.044795476,-1.4676331,1.0,3.5212631,2.5212631,3.5212631,train/0987n01a3s190.png,0.07373363,-1.5463295,0.0973607,-1.3702724
train,105,-1.0730813,0.2489375,-0.3582615,-0.04863336,-0.0060442714,-0.0013919453,-1.3706521,0.0,2.0030322,2.0030322,3.0030322,train/0396n02a1s054.png,0.010494954,-0.34776655,0.004673235,-1.3659788
train,106,0.41063574,0.57021093,1.9747341,-0.023531025,0.009196694,-0.009594551,-0.18310621,1.0,-2.3056002,-3.3056002,-2.3056002,train/0427n01a1s134.png,-0.020681055,1.954053,0.009024273,-0.17408194
train,107,2.1739473,-1.4708596,1.4011229,0.09066449,0.002626075,0.022134215,3.7354712,0.0,-6.2268834,-6.2268834,-5.2268834,train/0790n02a1s126.png,-0.36338833,1.0377346,-1.879187,1.8562843
train,108,-0.6609832,0.5874623,-0.28335077,0.035491258,-0.0069755265,-0.029260222,-1.2129543,1.0,2.0760567,1.076057,2.0760567,train/0469n03a4s279.png,0.014255893,-0.26909488,0.025697956,-1.1872563
train,109,0.26224828,0.8849297,-1.1108996,0.05275904,-0.0076264776,0.047413625,-0.5699224,0.0,0.1338166,0.1338166,1.1338166,train/0145n02a2s062.png,-0.0036643366,-1.114564,0.013679131,-0.55624324
train,110,-0.32701215,-0.88442236,0.2301939,-0.013224374,-0.011361771,-0.10419341,0.5441859,0.0,-0.180363,-0.180363,0.81963706,train/0655n06a2s304.png,0.029661374,0.25985527,0.020846825,0.5650327
train,111,-0.4365365,-0.65236896,1.5404152,0.009145534,0.058345776,0.08059054,0.224978,0.0,-1.0867517,-1.0867517,-0.08675158,train/0469n01a2s114.png,0.11941324,1.6598284,0.10419001,0.32916802
train,112,-0.25384602,-0.0251132,-0.86145604,0.01772069,-0.13902941,-0.0132035045,-0.21101214,0.0,0.85594463,0.85594463,1.8559446,train/0556n01a2s093.png,-0.00638947,-0.86784554,0.024320887,-0.18669125
train,113,0.9272628,-0.16322058,-0.21103288,-0.0013467281,-0.08652204,0.05882255,1.0891367,0.0,-2.08467,-2.08467,-1.0846702,train/0052n02a1s226.png,-0.00048827182,-0.21152115,-0.004468346,1.0846684
train,114,0.33809838,0.21270962,-1.6012487,-0.024018941,-0.02029991,-0.013023178,0.10136981,1.0,1.4120288,0.4120288,1.4120288,train/0480n01a2s057.png,-0.028335555,-1.6295843,-0.12101813,-0.019648314
train,115,0.2922263,0.47635376,0.71738267,-0.055888813,0.048488036,-0.03597136,-0.24001627,1.0,-0.83780664,-1.8378067,-0.83780664,train/0160n03a1s065.png,-0.015410408,0.70197225,-0.047208454,-0.2872247
train,116,0.44774142,-1.5039885,0.51839554,-0.024211092,0.05924012,0.016628388,1.9275188,0.0,-1.8972499,-1.8972499,-0.89725,train/0064n01a1s080.png,0.053536694,0.57193226,0.07464878,2.0021677
train,117,-0.05621439,0.33948153,0.6347839,-0.05438382,0.05802337,0.0025905357,-0.45007974,1.0,-0.019764602,-1.0197647,-0.019764602,train/0870n03a1s056.png,0.037858047,0.672642,0.010212058,-0.43986768
train,118,0.42674512,0.4536807,0.21159013,-0.102215804,0.036548723,-0.05237437,-0.12915137,1.0,-0.6174547,-1.6174548,-0.6174547,train/0049n10a4s068.png,-0.043323897,0.16826624,0.0050042304,-0.12414715
train,119,0.36827177,0.65345055,1.3062738,-0.07993894,-0.07666323,0.0024089634,-0.36511773,0.0,-2.5404084,-2.5404084,-1.5404084,train/0641n05a2s064.png,0.0872171,1.3934909,0.123138346,-0.24197939
train,120,-0.9279305,0.27236992,-0.9018152,-0.011521587,-0.04210317,-0.012902945,-1.211822,0.0,2.2447731,2.2447731,3.2447731,train/0356n01a1s059.png,0.035514224,-0.86630094,-0.039897766,-1.2517198
train,121,-0.07249612,-0.9521388,-0.27165154,-0.041875992,0.010184209,-0.08978897,0.83776665,0.0,-0.17314517,-0.17314517,0.8268548,train/0939n03a1s375.png,0.023847349,-0.2478042,-0.0051652277,0.8326014
train,122,-0.20622002,0.6352948,-2.5388563,0.052999534,0.1271842,0.008089909,-0.78851527,0.0,2.459386,2.459386,3.4593863,train/0386n05a1s359.png,0.16347234,-2.3753839,0.050832655,-0.73768264
train,123,-1.1385516,-0.13074075,0.015602485,-0.04496626,0.05219655,0.070583485,-1.052777,0.0,1.8320842,1.8320842,2.8320842,train/0448n01a4s214.png,-0.0067696664,0.008832819,0.014795808,-1.0379813
